evidence_id,source_name,organization_type,primary_geography,signal_strength_for_sw,source_type,source_locator,base_source_url,page_title,excerpt,entity,value_chain_role_A4,signal_type_A3,claim_tags_A5,mapped_market_A1_1,mapped_market_A1_2,mapped_market_A1_3,mapped_tech_A2_1,mapped_tech_A2_2,mapped_tech_A2_3,conditions_of_use_A6_notes,date_published_or_observed,captured_date,ingestion_method,mapping_confidence,mapped_by,mapped_on,analyst_notes
EV-9C0CE691,CCME – EPR Guidance for Plastics,Standards/Policy Body,Canada,High,pdf,https://ccme.ca/en/res/eprguidanceen.pdf,https://ccme.ca/en/res/eprguidanceen.pdf,CCME – EPR Guidance for Plastics,"%PDF-1.6 %���� 5686 0 obj <> endobj 5705 0 obj <>/Encrypt 5687 0 R/Filter/FlateDecode/ID[]/Index[5686 310]/Info 5685 0 R/Length 123/Prev 1483438/Root 5688 0 R/Size 5996/Type/XRef/W[1 3 1]>>stream h�bbd```b`�������m0�""Y�@$� ��� �T�Ev�ȍ ���O� Y�b��S�@$�+��.�]�""�b�@""@{�!y���w�%q��sG�a�MW�$Q����6 �q� endstream endobj startxref 0 %%EOF 5995 0 obj <>stream…",CCME – EPR Guidance for Plastics,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-362150AE,EPPA (European Paper Packaging Alliance),Trade Assoc.,EU,Medium,web,https://eppa-eu.org/,https://eppa-eu.org/,European Paper Packaging Alliance - Home,The European Paper Packaging Alliance is a not-for-profit association promoting sustainability and circularity in the food packaging sectors.,EPPA (European Paper Packaging Alliance),Regulatory / Standards Body,Partnership / Joint development,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-57DA08C0,ISO 18601 – Packaging & Environment,Standards Organization,Global,High,web,https://www.iso.org/standard/55869.html,https://www.iso.org/standard/55869.html,ISO 18601:2013,"ISO 18601:2013 specifies requirements and procedures for the other International Standards in this series on packaging and the environment: ISO 18602, ISO 18603, ISO 18604, ISO 18605, and ISO 18606. | It is applicable to a supplier responsible for placing packaging or packaged goods on the market. | Status : Published Publication date : 2013-01 Stage : International Standard confirmed [90.93] |…",ISO 18601 – Packaging & Environment,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),20240124,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-D0A60880,ISO 18601 – Packaging & Environment,Standards Organization,Global,High,web,https://www.iso.org/sdg,https://www.iso.org/standard/55869.html,Sustainable Development Goals,[From ISO 18601 – Packaging & Environment listing] Sustainable Development Goals,ISO 18601 – Packaging & Environment,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),20240124,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-0FFB8EBE,ISO 18601 – Packaging & Environment,Standards Organization,Global,High,web,https://www.iso.org/sdg/SDG11.html,https://www.iso.org/standard/55869.html,11 Sustainable Cities and Communities,[From ISO 18601 – Packaging & Environment listing] 11 Sustainable Cities and Communities,ISO 18601 – Packaging & Environment,Regulatory / Standards Body,Regulatory milestone,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),20240124,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-F577AEFE,CEN/TC 261 – Packaging (CEN/CENELEC),Standards Organization,EU,Medium,web,"https://standards.cencenelec.eu/ords/f?p=205:110:::::FSP_ORG_ID,FSP_PROJECT:6242,78294","https://standards.cencenelec.eu/ords/f?p=205:110:::::FSP_ORG_ID,FSP_PROJECT:6242,78294",DashBoard TC PubDeatil,,CEN/TC 261 – Packaging (CEN/CENELEC),Certification / Testing Lab,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.65,extract_sources.py v1,2026-05-27,
EV-B9C0E7C3,Ellen MacArthur Foundation,NGO / Thought Leadership,Global,Medium,web,https://www.ellenmacarthurfoundation.org/,https://www.ellenmacarthurfoundation.org/,Leading the Transition to a Circular Economy,"Through design, we can eliminate waste and pollution, circulate products and materials, and regenerate nature, creating an economy that benefits people, business, and the natural world.",Ellen MacArthur Foundation,Technology Provider,Material performance claim,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-51C6C8C8,Ellen MacArthur Foundation,NGO / Thought Leadership,Global,Medium,web,https://www.ellenmacarthurfoundation.org/topics/plastics/overview,https://www.ellenmacarthurfoundation.org/,"How to Prevent Plastic Pollution and Eliminate WasteDiscover how the circular economy can help eliminate plastic waste, reduce pollution and drive...","[From Ellen MacArthur Foundation listing] How to Prevent Plastic Pollution and Eliminate WasteDiscover how the circular economy can help eliminate plastic waste, reduce pollution and drive...",Ellen MacArthur Foundation,Technology Provider,Material performance claim,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-EC528F31,Ellen MacArthur Foundation,NGO / Thought Leadership,Global,Medium,web,https://www.ellenmacarthurfoundation.org/topics/fashion/overview,https://www.ellenmacarthurfoundation.org/,Keeping fashion and textiles in useTogether we can tackle the barriers to circular economy implementation at scale and keep fashion...,[From Ellen MacArthur Foundation listing] Keeping fashion and textiles in useTogether we can tackle the barriers to circular economy implementation at scale and keep fashion...,Ellen MacArthur Foundation,Technology Provider,Material performance claim,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-5BDFBAA9,Circular Action Alliance – Oregon,PRO / Implementation Body,US (Oregon),High,web,https://circularactionalliance.org/oregon,https://circularactionalliance.org/oregon,Oregon — Circular Action Alliance,"The Plastic Pollution and Recycling Modernization Act requires producers of residential and commercial packaging, printing and writing paper, and food serviceware to join a Producer Responsibility Organization (PRO) and, through the PRO, fund the end of life management of those materials, which includes processing and recycling. | CAA Oregon is the only PRO with an approved program plan in…",Circular Action Alliance – Oregon,Certification / Testing Lab,Partnership / Joint development,printability,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-19,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-C7896E37,Circular Action Alliance – Colorado,PRO / Implementation Body,US (Colorado),High,web,https://circularactionalliance.org/circular-action-alliance-colorado,https://circularactionalliance.org/circular-action-alliance-colorado,Colorado — Circular Action Alliance,"Colorado’s Producer Responsibility program for packaging and paper products requires covered producers to join a Producer Responsibility Organization (PRO), and through the PRO, fund and manage the end of life of those materials, which includes collection, processing, and recycling or composting. | CAA was approved by the Colorado Department of Public Health & Environment (CDPHE) as the PRO that…",Circular Action Alliance – Colorado,Certification / Testing Lab,Partnership / Joint development,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2025-12-10,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-1693BB88,Paper360° (TAPPI),Trade Press / Technical,US / Global,High,web,https://paper360.tappi.org/,https://paper360.tappi.org/,Paper360 – TAPPI's packaging & paper technology journal,"Paper360° covers fiber systems, paper & packaging technology, coatings, and barriers. Published by TAPPI (Technical Association of the Pulp & Paper Industry). Key coverage: molded fiber, paper-based flexible packaging, barrier coatings, recyclability/repulpability validation. [BLOCKED: Site returned 530 – Cloudflare protection. Visit directly for latest articles.]",TAPPI / Paper360,Certification / Testing Lab,Material performance claim,repulpable; grease resistance; WVTR; OTR; heat-sealability,Food – Ambient Snacks & Bakery,QSR / Foodservice – To-go / Hot-hold / Grease,E-commerce – SIOC / Protective,Paper-based Flexibles – Recyclable barrier coatings,Dispersion/Water-based barrier coatings,"Fiber recovery compatibility (repulpability, screenability, stickies control)",(unknown – manual review needed),2026-05-27,2026-05-27,manual,0.55,extract_sources.py v1 (manual stub),2026-05-27,BLOCKED by Cloudflare 530. Use TAPPI.org or direct browser access for content. High relevance for technical barrier coating & fiber performance claims.
EV-F092B914,Environment and Climate Change Canada – EPR Overview,Regulator / Policy Authority,Canada,Medium,web,https://www.canada.ca/en/environment-climate-change/services/managing-reducing-waste/overview-extended-producer-responsibility.html,https://www.canada.ca/en/environment-climate-change/services/managing-reducing-waste/overview-extended-producer-responsibility.html,Overview of Extended Producer Responsibility – Environment and Climate Change Canada,"Federal Government of Canada policy overview on Extended Producer Responsibility (EPR). Canada has provincial-level EPR programs; the federal government provides framework guidance. Provinces with active packaging EPR: British Columbia, Ontario, Quebec, Manitoba, Saskatchewan, Alberta, Nova Scotia, PEI. Key milestone: Federal Plastics Registry (SOR/2023-279) requires plastics manufacturers/importers to report data. [BLOCKED: 403 from Akamai CDN. Access via browser or VPN.]",Government of Canada / Environment and Climate Change Canada,Regulatory / Standards Body,Regulatory milestone,recycled content; PFAS-free,Food – Ambient Snacks & Bakery,Beverage – Multipacks & Secondary,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(not applicable – regulatory/policy document),2026-05-27,2026-05-27,manual,0.5,extract_sources.py v1 (manual stub),2026-05-27,BLOCKED by Akamai (403). Recommend manual access. Federal EPR overview relevant for Canada market scope – moderate signal strength for SW as US-focus is primary.
EV-B787B82D,Packaging World – EMF 2030 Coverage,Trade Press,US / Global,Medium,web,https://www.packworld.com/sustainable-packaging/article/22953796/in-the-ellen-macarthur-foundations-2030-report-real-progress-but-not-enough,https://www.packworld.com/sustainable-packaging/article/22953796/in-the-ellen-macarthur-foundations-2030-report-real-progress-but-not-enough,"In the Ellen MacArthur Foundation's 2030 Report: Real Progress, But Not Enough – Packaging World",Packaging World analysis of the Ellen MacArthur Foundation's 2030 progress report on plastics packaging. Key findings: brand commitments to recyclable/reusable packaging are advancing but falling short of 2025 targets. Flexible packaging and hard-to-recycle formats remain the largest gap. Paper-based and fiber alternatives cited as gaining traction. [BLOCKED: 403 Forbidden. Access via direct browser visit.],Packaging World / Ellen MacArthur Foundation,Brand Owner / CPG,Pilot / Trial / Customer validation,curbside recyclable; recycled content; carbon footprint,Food – Ambient Snacks & Bakery,Beverage – Multipacks & Secondary,Home Care – Detergent / Pods / Refills,Paper-based Flexibles – Recyclable barrier coatings,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,(unknown – manual review needed),2026-05-27,2026-05-27,manual,0.55,extract_sources.py v1 (manual stub),2026-05-27,BLOCKED: 403 Forbidden. Article discusses brand adoption trends vs EMF 2030 targets. Relevant signal for desirability/brand pull for fiber and recyclable packaging alternatives.
